"Captain Toad: Treasure Tracker","Nintendo EPD","Nintendo","July 13, 2018","July 13, 2018","July 13, 2018","July 13, 2018",""
"Cardfight Vanguard: Ride to Victory","FuRyu","FuRyu","April 11, 2013","Unreleased","Unreleased","Unreleased",""
"Cardfight Vanguard: Rock on Victory","FuRyu","FuRyu","June 5, 2014","Unreleased","Unreleased","Unreleased",""
"Cardfight Vanguard G: Stride to Victory","FuRyu","FuRyu","January 14, 2016","Unreleased","Unreleased","Unreleased",""
"Carnival Games: Wild West 3D","Cat Daddy Games","2K Play","Unreleased","November 21, 2011","November 17, 2011","March 2, 2012",""
"Carps & Dragons","Abylight","Abylight","Unreleased","September 26, 2013","Unreleased","August 22, 2013",""
"Cars 2","Firebrand Games","Disney Interactive Studios","Unreleased","November 1, 2011","November 10, 2011","November 11, 2011",""
"Cartoon Network: Battle Crashers","GameMill Entertainment","Magic Pockets","Unreleased","November 8, 2016","November 8, 2016","November 8, 2016",""
"Cartoon Network: Punch Time Explosion","Papaya Studio","EU: Deep SilverWW: Crave Entertainment","Unreleased","June 2, 2011","May 17, 2012","November 18, 2011",""
"Castle Conqueror Defender","Circle Entertainment","JP: StarsignWW: Circle Entertainment","January 20, 2016","November 13, 2014","Unreleased","December 18, 2014",""
"Castle Conqueror EX","Circle Entertainment","Circle Entertainment","Unreleased","October 23, 2014","Unreleased","April 28, 2016",""
"Castlevania: Lords of Shadow – Mirror of Fate","MercurySteam","Konami","March 20, 2013","March 5, 2013","March 9, 2013","March 8, 2013",""
"Cats & Dogs 3D: Pets at Play","Treva Entertainment","Treva Entertainment","Unreleased","Unreleased","Unreleased","March 30, 2012",""
"Cave Story","Nicalis","Nicalis","September 30, 2012","October 4, 2015","May 1, 2014","May 1, 2014",""
"Cave Story 3D","Nicalis","NIS America","July 26, 2012","November 8, 2011","November 24, 2011","November 11, 2011",""
"Cazzarion","Armin Unold","Zarpazo","Unreleased","January 16, 2020","Unreleased","October 31, 2019",""
"Cazzarion Adventureland","Zarpazo","Zarpazo","Unreleased","November 12, 2020","Unreleased","January 14, 2021",""
