"Yo-kai Watch","Level-5","Nintendo","July 11, 2013","November 6, 2015","December 5, 2015","April 29, 2016",""
"Yo-kai Watch Blasters: Moon Rabbit Crew","Level-5","Level-5Nintendo","December 12, 2015","September 27, 2018","September 27, 2018","September 27, 2018",""
"Yo-kai Watch Blasters: Red Cat Corps","Level-5","Level-5Nintendo","July 11, 2015","September 7, 2018","September 8, 2018","September 7, 2018",""
"Yo-kai Watch Blasters: White Dog Squad","Level-5","Level-5Nintendo","July 11, 2015","September 7, 2018","September 8, 2018","September 7, 2018",""
"Yo-kai Watch Busters 2: Treasure Legend Banbaraya Magnum","Level-5","Nintendo","December 16, 2017","Unreleased","Unreleased","Unreleased",""
"Yo-kai Watch Busters 2: Treasure Legend Banbaraya Sword","Level-5","Nintendo","December 16, 2017","Unreleased","Unreleased","Unreleased",""
"Yo-kai Sangokushi","Level-5Koei Tecmo","Level-5Koei Tecmo","April 2, 2016","Unreleased","Unreleased","Unreleased",""
"Yo-kai Watch 2: Bony Spirits","Level-5","Level-5Nintendo","July 10, 2014","September 30, 2016","October 15, 2016","April 7, 2017",""
"Yo-kai Watch 2: Fleshy Souls","Level-5","Level-5Nintendo","July 10, 2014","September 30, 2016","October 15, 2016","April 7, 2017",""
"Yo-kai Watch 2: Psychic Specters","Level-5","Level-5Nintendo","December 13, 2014","September 29, 2017","September 30, 2017","September 29, 2017",""
"Yo-kai Watch 3: Sukiyaki","Level-5","Level-5Nintendo","December 15, 2016","February 8, 2019","December 8, 2018","December 7, 2018",""
"Yo-kai Watch 3: Sushi","Level-5","Level-5Nintendo","July 16, 2016","February 8, 2019","December 8, 2018","December 7, 2018",""
"Yo-kai Watch 3: Tempura","Level-5","Level-5Nintendo","July 16, 2016","February 8, 2019","December 8, 2018","December 7, 2018",""
"Yoru no Majin to Ikusa no Kuni Samayoeru Vampire","Poisoft","Poisoft","May 30, 2012","Unreleased","Unreleased","Unreleased",""
"Yoshi's New Island","Arzest","Nintendo","July 24, 2014","March 14, 2014","March 15, 2014","March 14, 2014",""
"Young Justice: Legacy","Freedom Factory Studios","Little OrbitWarner Bros. Interactive Entertainment","Unreleased","November 19, 2013","November 21, 2013","November 22, 2013",""
"Yu-Gi-Oh! Saikyo Card Battle","Konami","Konami","July 6, 2016","Unreleased","Unreleased","Unreleased",""
"Yu-Gi-Oh! Zexal: World Duel Carnival","Konami","Konami","December 5, 2013","September 25, 2014","July 10, 2014","June 26, 2014",""
"Yumi's Odd Odyssey","Studio Saizensen","NA: NatsumeWW: Agatsuma Entertainment","June 20, 2013","March 20, 2014","April 24, 2014","April 24, 2014",""
"Zara the Fastest Fairy","Famous Gamous","Famous Gamous","Unreleased","April 18, 2019","Unreleased","May 2, 2019",""
"Zen Pinball 3D","Zen Studios","Zen Studios","Unreleased","January 12, 2012","Unreleased","December 1, 2011",""
"Zero Escape: Virtue's Last Reward","Chunsoft","JP: ChunsoftNA: Aksys GamesPAL: Rising Star Games","February 16, 2012","October 23, 2012","November 29, 2012","November 23, 2012",""
"Zero Time Dilemma","Spike Chunsoft","Aksys Games","June 30, 2016","June 28, 2016","June 29, 2016","June 28, 2016",""
"Zeus Quest Remastered Anagenissis of Gaia","Crazysoft","Crazysoft","Unreleased","July 5, 2018","Unreleased","May 10, 2018",""
"Zig Zag Go","RCMADIAX","RCMADIAX","Unreleased","January 25, 2018","Unreleased","February 1, 2018",""
"Zombie Incident","CoderChild","CoderChild","Unreleased","March 5, 2015","Unreleased","February 26, 2015",""
"Zombie Slayer Diox","UFO Interactive Games","JP: CyberfrontWW: UFO Interactive Games","December 26, 2012","March 22, 2012","Unreleased","July 5, 2012",""
"Zoo Resort 3D","AQ Interactive","JP: Marvelous EntertainmentWW: Ubisoft","May 19, 2011","October 25, 2011","June 14, 2012","November 11, 2011",""

